Place,Phone,Website,Address,City,ZIP,LAT,LON,Type
Bennett’s Orchard ,,http://www.bennettsorchard.com/,, Ottawa Lake,,41.764152,-83.749387,4
Lehman’s Orchards ,,http://www.lehmansorchard.com/,, Niles,,41.829769,-86.254177,4
Corey Lake Orchards ,,http://www.coreylakeorchards.com/,, Three Rivers,,41.944272,-85.634622,4
J. Trees Cellars ,,http://www.treeswines.com/,, Tecumseh,,42.003933,-83.944942,4
Meckley’s Cidery ,,http://flavorfruitfarm.com/,, Cement City,,42.070042,-84.330504,4
St. Julian Winery ,,http://www.stjulian.com/,, Paw Paw,,42.217817,-85.891125,4
Cherry Creek Cellars ,,http://www.cherrycreekwine.com/,, Albion,,42.243097,-84.75303,4
Husted’s Farm Market ,,http://www.hustedfarmmarket.com/,, Kalamazoo,,42.291707,-85.587229,4
Texas Corners Brewing Company ,,http://www.texascornersbrewingcompany.com/,, Kalamazoo,,42.291707,-85.587229,4
The Merry,,https://www.facebook.com/The-Merry-Hearted-Cidery-1103380713102836/,, Kalamazoo,,42.291707,-85.587229,4
Motor City Brewing Works ,,http://www.motorcitybeer.com/,, Detroit,,42.331551,-83.04664,4
Mcintosh Cellars ,,http://www.mcintoshorchards.com/,, South Haven,,42.403087,-86.273641,4
Northville Winery and Brewing Company ,,http://www.thenorthvillewinery.com/,, Northville,,42.431081,-83.483226,4
B. Nektar Meadery ,,http://www.bnektar.com/,, Ferndale,,42.460592,-83.134648,4
Cellarmen’s ,,http://cellarmens.com/,, Hazel Park,,42.462014,-83.103569,4
Kuhnhenn Brewing Co. ,,http://www.kbrewery.com/,, Warren,,42.493257,-83.006275,4
Griffin Claw Brewing Company ,,http://www.griffinclawbrewingcompany.com/,, Birmingham,,42.546701,-83.211319,4
Country Mill Winery ,,http://www.countrymill.com/,, Charlotte,,42.563737,-84.835579,4
Crane’s Pie Pantry ,,http://cranespiepantry.com/,, Fennville,,42.594105,-86.104596,4
Fenn Valley Vineyards ,,https://www.fennvalley.com/,, Fennville,,42.594105,-86.104596,4
Vander Mill ,, Grand Rapids Virtue Cider ,, Fennville,,42.594105,-86.104596,4
Saugatuck Brewing Company ,,http://saugatuckbrewing.com/,, Douglas,,42.643358,-86.200593,4
Fieldstone Hard Cider ,,http://fieldstonehardcider.com/,, Rochester,,42.680588,-83.133821,4
Lansing Brewing Company ,,http://www.lansingbrewingcompany.com/,, Lansing,,42.733771,-84.55538,4
Ellison Brewery and Spirits ,,http://www.ellisonbrewing.com/,, East Lansing,,42.735542,-84.485247,4
Fourth Coast Ciderworks ,,https://fourthcoastciderworks.com/,, Lake Orion,,42.784475,-83.239661,4
Fourth Coast Ciderworks ,,https://fourthcoastciderworks.com/,, Lake Orion,,42.784475,-83.239661,4
Spicer Orchards Winery ,,http://www.spicerorchards.com/,, Fenton,,42.797806,-83.70495,4
Blake’s Hard Cider Co. ,,http://www.blakeshardcider.com/,, Armada,,42.844196,-82.884372,4
Farmhaus Cider Co. ,,http://farmhauscider.com/,, Hudsonville,,42.870889,-85.865235,4
Painted Turtle Hard Cider ,,http://www.paintedturtlehardcider.com/,, Lowell,,42.933601,-85.341855,4
Acme Cider Co. ,,http://www.acmecider.com/,, Ada,,42.954714,-85.487952,4
Sietsema Orchards ,,http://www.sietsemaorchards.com/,, Ada,,42.954714,-85.487952,4
Robinette Cellars ,,https://robinettes.com/,, Grand Rapids,,42.96324,-85.667864,4
Sierra Rose Ciders ,,http://www.sierrarosewinery.com/,, Grand Rapids,,42.96324,-85.667864,4
The Peoples Cider Co. ,,http://www.thepeoplescider.com/,, Grand Rapids,,42.96324,-85.667864,4
Thornapple Brewing Co. ,,http://www.thornapplebrewing.com/,, Grand Rapids,,42.96324,-85.667864,4
Phillips Orchards ,,http://www.phillipsorchards.com/,, St Johns,,43.000928,-84.55851,4
Uncle John’s ,,,,,,43.000928,-84.55851,4
Flint City Hard Cider Co. ,,https://www.facebook.com/FlintCityHardCiderCo/,, Flint,,43.016169,-83.690021,4
Almar Orchards ,,http://jksfarmhouseciders.com/,, Flushing,,43.063083,-83.851073,4
Schaefer Cider Company ,,http://www.schaeferciders.com/,, Conklin,,43.127293,-85.881863,4
Cellar Brewing Company ,,http://cellarbrewingco.com/,, Sparta,,43.160858,-85.710039,4
Ridge Cider Co. ,,http://www.ridgecider.com/,, Grant,,43.336132,-85.810882,4
Eastman’s Forgotten Ciders ,,https://www.facebook.com/EastmansForgottenCiders,, Wheeler,,43.412807,-84.437774,4
Douglas Valley ,,http://www.douglasvalley.net/,, Manistee,,44.330804,-86.026204,4
Northern Natural Cider House & Winery ,,http://www.northernnaturalwinery.com/,, Kaleva,,44.373337,-86.01036,4
St. Ambrose Cellars ,,https://www.stambrose-mead-wine.com/,, Beulah,,44.631944,-86.090924,4
Bowers Harbor Vineyards ,,https://www.bowersharbor.com/,, Traverse City,,44.760644,-85.61653,4
Cherry Republic ,,http://www.cherryrepublic.com/,, Traverse City,,44.760644,-85.61653,4
Left Foot Charley ,,http://www.leftfootcharley.com/,, Traverse City,,44.760644,-85.61653,4
Nomad Cidery ,,https://www.facebook.com/Nomad-Cidery-465099406982082/,, Traverse City,,44.760644,-85.61653,4
Taproot Cider House,,http://www.taproottc.com/,,Traverse City,,44.760644,-85.61653,4
Townline Ciderworks ,,https://www.facebook.com/TownlineCider/,, Williamsburg,,44.773614,-85.403956,4
Bel Lago Winery ,,http://bellago.com/,, Cedar,,44.847777,-85.79564,4
bigLITTLE Wines ,,http://www.biglittlewines.com/,, Suttons Bay,,44.976666,-85.650639,4
Black Star Farms ,,http://www.blackstarfarms.com/,, Suttons Bay,,44.976666,-85.650639,4
Chateau de Leelanau ,,http://www.chateaudeleelanau.com/,, Suttons Bay,,44.976666,-85.650639,4
L.Mawby ,,http://lmawby.com/,, Suttons Bay,,44.976666,-85.650639,4
Suttons Bay Ciders ,,http://suttonsbayciders.com/,, Suttons Bay,,44.976666,-85.650639,4
Tandem Ciders ,,http://www.tandemciders.com/,, Suttons Bay,,44.976666,-85.650639,4
