Place,Phone,Website,Address,City,ZIP,LAT,LON,Type
Lexington B.C. (in Old Town Hall Winery),(810) 359-5012,www.lexingtonbrewery.com,"5475 North Main Street Lexington, MI 48450",Lexington, 48450,43.269038,-82.530356,1
Stormcloud Brewing Company,(231) 352-0118,stormcloudbrewing.com,"303 West Main Street Frankfort, MI 49635",Frankfort, 49635,44.632863,-86.240667,1
Traffic Jam & Snug,(313) 831-9470,www.traffic-jam.com,"4268 Second  Detroit , MI 48201",Detroit , 48201,42.351069,-83.065423,1
Ramshackle Brewing Company,(517) 826-5030,www.ramshacklebrewing.com,"209 East Chicago Street Jonesville , MI 49250",Jonesville , 49250,41.983691,-84.662672,1
Pavlov’s Brewing Company,(734) 802-1410,www.pavlovsbrew.com,"7548 Lewis Ave Temperance, MI",Temperance, ,41.740246,-83.567167,1
Bennett’s Orchard ,,http://www.bennettsorchard.com/,, Ottawa Lake,,41.764152,-83.749387,4
Black Dragon Meadery-Benton Harbor,,www.blackdragonmeadery.com ,911 W Buffalo St,New Buffalo,49117,41.789534,-86.753976,3
Beer Church Brewing Company,(219) 771-0635,www.beerchurchbrewing.com,"24 S Whittaker St New Buffalo , MI 49117",New Buffalo , 49117,41.793222,-86.743118,1
Ghost Isle Brewery,(269) 469-9069,www.ghostislebrewery.com,"17684 U.S. 12 New Buffalo, MI 49117",New Buffalo, 49117,41.799164,-86.725065,1
Dewey Cannon Winery & Brewery Co.,,,9 Elm Street,Three Oaks,49128,41.801023,-86.610484,2
Journeyman Distillery,,,109 Generations Drive,Three Oaks,49128,41.802975,-86.611404,2
"Round Barn Winery, Distillery, Brewery, The",(269) 469-6885,roundbarnwinery.com,"9185 Union Pier Road Union Pier, MI 49129",Union Pier, 49129,41.828067,-86.688106,1
Lehman’s Orchards ,,http://www.lehmansorchard.com/,, Niles,,41.829769,-86.254177,4
J. Tree Cellars,,,115 N. Main Street,Blissfield,49228,41.835599,-83.872135,2
Lehman’s Orchard Brewery & Farmhouse,(269) 362-4063,`,"204 N Red Trail Buchanan, MI 49107",Buchanan, 49107,41.85263,-86.387483,1
Greenbush B.C. Production/Annex,(269) 405-1076,www.greenbushbrewing.com,"5870 Sawyer Road Sawyer, MI 49125",Sawyer, 49125,41.885363,-86.594207,1
Greenbush Brewing Company,(269) 405-1076,www.greenbushbrewing.com,"5885 Sawyer Rd Sawyer, MI 49125",Sawyer, 49125,41.885732,-86.594603,1
Cotton Brewing Company,(517) 902-6608,www.cottonbrewing.com,"626 Oak Street Adrian , MI 49221",Adrian , 49221,41.891361,-84.024634,1
Rice & Barley Taphouse-Brewery/Distillery,(517) 902-6608,www. .com/riceandbarley,"101 E. Maumee Street Adrian, MI 49221",Adrian, 49221,41.898215,-84.034161,1
Old Shore Vineyards,,,264 Browntown Road,Buchanan,49107,41.905823,-86.46161,2
"Round Barn Winery, Distillery, Brewery, The",(800) 716-9463,roundbarnwinery.com,"10983 Hills Road Baroda, MI 49101",Baroda, 49101,41.922268,-86.457869,1
The Round Barn Winery,,,10983 Hills Road,Baroda,49101,41.922268,-86.457869,2
Hillsdale Brewing Company,(517) 212-8182,www. .com/hillsdalebrewing,"25 Hillsdale Street Hillsdale, MI 49242",Hillsdale, 49242,41.924709,-84.631547,1
Flying Otter Vineyard and Winery,,,3402 Chase Road,Adrian,49221,41.928924,-83.955323,2
Gravity Wine,,,10220 Lauer Road,Baroda,49101,41.932775,-86.436799,2
Free Run Cellars,,,10062 Burgoyne Road,Berrien Springs,49103,41.940128,-86.417754,2
Tapistry Brewing,(269) 266-7349,tapistrybrewing.com,"4236 Lake Street Bridgman, MI 49106",Bridgman, 49106,41.942756,-86.556157,1
Transient Artisan Ales,,https://transientartisanales.com/,"4229 Lake Street Bridgman, MI 49106",Bridgman, 49106,41.942998,-86.555709,1
Corey Lake Orchards ,,http://www.coreylakeorchards.com/,, Three Rivers,,41.944272,-85.634622,4
Kelsey Block Brewing Company,(269) 718-3667,www.kelseyblock.com,"41 North Main Street Three Rivers, MI 49093",Three Rivers, 49093,41.944747,-85.63334,1
Haymarket Taproom,(269) 266-5050,www.haymarketbrewing.com,"9301 Red Arrow Highway Bridgman, MI 49106",Bridgman, 49106,41.947155,-86.559477,1
Baroda Founders Wine Cellar,,,8963 Hills Road,Baroda,49101,41.950161,-86.479395,2
Round Barn Brewery & Public House,(269) 326-7059,roundbarnwinery.com/brewery.php,"9151 First Street Baroda, MI 49101",Baroda, 49101,41.952102,-86.485726,1
J. Trees Cellars ,,http://www.treeswines.com/,, Tecumseh,,42.003933,-83.944942,4
Tecumseh Brewing Company,(517) 815-1726,www.tecumsehbrewingco.com,"128 W. Chicago Blvd Tecumseh , MI 49286",Tecumseh , 49286,42.004052,-83.946191,1
Pentamere Winery,,,131 East Chicago Boulevard,Tecumseh,49286,42.004199,-83.944248,2
Grande Mere Inn,(269) 429-3591,grandemereinn.com,"5800 Red Arrow Hwy. Stevensville, MI 49127",Stevensville, 49127,42.012741,-86.528786,1
Watermark Brewing Company,(269) 281-0872,watermarkbrewing.com,"5781 Saint Joseph Ave Stevensville, MI 49127",Stevensville, 49127,42.012867,-86.51963,1
Black Fire Winery,(517) 424-9232,`,"1261 East Munger Road Tecumseh, MI 49286",Tecumseh, 49286,42.027346,-84.000507,1
Cherry Creek Old Schoolhouse Winery (beers served in summer only),(517) 592-4663,`,"11000 Silver Lake Hwy Manitou Beach, MI 49230",Manitou Beach, 49230,42.028504,-84.224166,1
Blue Skies Brewery-Irish Hills,(517) 446-4052,chateauaeronautiquewinery.com,"12000 Pentecost Hwy. Onsted , MI 49265",Onsted , 49265,42.056459,-84.126315,1
Meckley’s Flavor Fruit Farm,(517) 688-3455,`,"11035 S Jackson Rd. Cement City, MI 49233",Cement City, 49233,42.058608,-84.406401,1
Meckley's Flavor Fruit Farm,,,11025 S Jackson Road,Somerset Center,49282,42.058861,-84.406364,2
Meckley’s Cidery ,,http://flavorfruitfarm.com/,, Cement City,,42.070042,-84.330504,4
Sister Lakes Brewing Company,(269) 332-5153,www.sisterlakesbrewing.com,"92500 CR-690 Sister Lakes, MI 49047",Sister Lakes, 49047,42.072265,-86.199739,1
Original Gravity B.C.,(734) 439-7490,ogbrewing.com,"440 County Street Milan, MI 48160",Milan, 48160,42.083982,-83.675178,1
Final Gravity Brewing Company,(269) 436-8052,www.finalgravitybrew.com,"103 North Phelps Street Decatur, MI 49045",Decatur, 49045,42.108767,-85.974547,1
Silver Harbor Brewing Company,(269) 281-7100,www.silverharborbrewing.com,"721 Pleasant Street St. Joseph, MI 49085",St. Joseph, 49085,42.10893,-86.480275,1
White Pine Winery and Vineyards,,,317 State Street,St Joseph,49085,42.109262,-86.481863,2
"Livery, The",(269) 925-8760,liverybrew.com,"190 5'th Street Benton Harbor, MI 49022",Benton Harbor, 49022,42.118507,-86.453702,1
"Distant Whistle Brewhouse, The",(269) 370-7549,`,"118 S Main Street Vicksburg, MI 49087",Vicksburg, 49087,42.119095,-85.532488,1
North Pier Brewing Company,(269) 757-7163,northpierbrewing.com,"670 North Shore Drive Benton Harbor, MI 49022",Benton Harbor, 49022,42.12444,-86.45498,1
Carriage House Ciders,,,920 North Shore Drive,Benton Harbor,49022,42.125122,-86.455033,2
Terrace Hill Vineyards,,,1952 Angling Road,Watervliet,49098,42.147679,-86.267771,2
Salt Springs Brewery,(734) 295-9191,www.saltspringsbrewery.com,"117 South Ann Arbor Street Saline, MI 48176",Saline, 48176,42.166466,-83.781054,1
Barn Brewery Brewers,(269) 299-0482,barnbrewersbrewery.com,"114 North Main Street Lawton, MI 49065",Lawton, 49065,42.168348,-85.849664,1
Big T,(269) 624-1200,www.bigtrestaurant.com,"157 North Main Street Lawton, MI 49065",Lawton, 49065,42.168403,-85.849898,1
Contessa Wine Cellars,,,3235 Friday Road,Coloma,49038,42.16873,-86.306568,2
Stony Lake B.C.,(734) 316-7919,www.stonylakebrewing.com,"477 East Michigan Saline, MI 48176",Saline, 48176,42.170555,-83.773202,1
