Place,Phone,Website,Address,City,ZIP,LAT,LON,Type
Black Dragon Meadery-Benton Harbor,,www.blackdragonmeadery.com ,911 W Buffalo St,New Buffalo,49117,41.789534,-86.753976,3
"Great Mead hall & Brewing Company, Bangor",,www.greatmeadhall.net,215 W. Monroe,Bangor,49013,42.313457,-86.112525,3
"B. Nektar Meadery, Ferndale    ",,www.bnektar.com,1511 Jarvis St,Ferndale,48220,42.45699,-83.113582,3
Schramm's Mead-Ferndale,,www.SchrammsMead.com,327 W. 9 Mile Road Ferndale,Ferndale,48220,42.460254,-83.138646,3
Cellarmen's-Hazel Park,,www.cellarmens.com,24310 John R Rd,Hazel Park,48030,42.470768,-83.104294,3
Dragonmead Microbrewery,,www.dragonmead.com,14600 E. 11 Mile Rd,Warren,48089,42.492825,-82.975259,3
"Superior Lakes, Harrison Twp.",,www.superiorlakes.com,36285 Jefferson,Harrison Township,48045,42.564755,-82.844369,3
Sunshine Meadery,,www.sunshinemead.com,501 Ottawa St,Lowell,49331,42.933601,-85.341855,3
Arktos Meadery,,www.arktosmeadery.com,1251 Century Ave SW,Grand Rapids,49503,42.940209,-85.678927,3
"Bardic Wells Meadery, Montague",,www.bardicwells.com,8844 Water St,Montague,49437,43.418522,-86.353597,3
"St. Ambrose Cellars, Bulah",,www.stambrose-mead-wine.com,841 S. Pioneer Rd. Beulah,Beulah,49617,44.617935,-85.998228,3
Acoustic Draft Mead,,www.drinkacoustic.com,119 N S Maple St,Traverse City,49684,44.76317,-85.6328,3
Bee Well Meadery-Bellaire,,www.beewellmeadery.com,116 N Bridge St,Bellaire,49615,44.975681,-85.209891,3
Algomah Acres Honey House Meadery,,www.algomahacres.publishpath.com,611 Plank Rd,Greenland,49929,46.779708,-89.092785,3
