Place,Phone,Website,Address,City,ZIP,LAT,LON,Type
Dewey Cannon Winery & Brewery Co.,,,9 Elm Street,Three Oaks,49128,41.801023,-86.610484,2
Journeyman Distillery,,,109 Generations Drive,Three Oaks,49128,41.802975,-86.611404,2
J. Tree Cellars,,,115 N. Main Street,Blissfield,49228,41.835599,-83.872135,2
Old Shore Vineyards,,,264 Browntown Road,Buchanan,49107,41.905823,-86.46161,2
The Round Barn Winery,,,10983 Hills Road,Baroda,49101,41.922268,-86.457869,2
Flying Otter Vineyard and Winery,,,3402 Chase Road,Adrian,49221,41.928924,-83.955323,2
Gravity Wine,,,10220 Lauer Road,Baroda,49101,41.932775,-86.436799,2
Free Run Cellars,,,10062 Burgoyne Road,Berrien Springs,49103,41.940128,-86.417754,2
Baroda Founders Wine Cellar,,,8963 Hills Road,Baroda,49101,41.950161,-86.479395,2
Pentamere Winery,,,131 East Chicago Boulevard,Tecumseh,49286,42.004199,-83.944248,2
Meckley's Flavor Fruit Farm,,,11025 S Jackson Road,Somerset Center,49282,42.058861,-84.406364,2
White Pine Winery and Vineyards,,,317 State Street,St Joseph,49085,42.109262,-86.481863,2
Carriage House Ciders,,,920 North Shore Drive,Benton Harbor,49022,42.125122,-86.455033,2
Terrace Hill Vineyards,,,1952 Angling Road,Watervliet,49098,42.147679,-86.267771,2
Contessa Wine Cellars,,,3235 Friday Road,Coloma,49038,42.16873,-86.306568,2
Karma Vista,,,6991 Ryno Road,Coloma,49038,42.178957,-86.295437,2
Spotted Dog Winery,,,1100 Woodland Drive E,Saline,48176,42.188326,-83.764526,2
Bella Vino Winery,,,340 Eureka Road,Wayne,48192,42.200019,-83.153758,2
Latitude 42 Brewing Company,,,7842 Portage Road,Portage,49002,42.20251,-85.560573,2
Warner Vineyards,,,706 South Kalamazoo Street,Paw Paw,49079,42.211856,-85.891492,2
Peterson and Sons Winery,,,9375 East P Avenue,Kalamazoo,49048,42.217824,-85.444202,2
Unity Vibration,,,93 Ecorse Road,Ypsilanti,48198,42.239759,-83.597202,2
Sleeping Bear Winery,,,2110 N Concord Road,Albion,49224,42.258884,-84.649114,2
Dark Horse Brewing Company,,,511 S Kalamazoo Avenue,Marshall,49068,42.266704,-84.963978,2
Cherry Creek Cellars,,,2199 North Concord Road,Albion,49224,42.269047,-84.649148,2
Jolly Pumpkin Cafe & Brewery,,,311 S Main Street,Ann Arbor,48104,42.27916,-83.748455,2
DeAngelis Cantina del Vino,,,7879 Jackson Road,Ann Arbor,48103,42.284964,-83.800479,2
Bell's Brewery,,,8938 Krum Ave.,Galesburg,49053,42.287388,-85.456735,2
Lone Oak Vineyard Estates,,,8400 Ann Arbor Road,Grass Lake,49240,42.287869,-84.263971,2
Arcadia Brewing Company Kalamazoo,,,701 E Michigan Avenue,Kalamazoo,49007,42.295079,-85.571537,2
Sandhill Crane Vineyards,,,4724 Walz Road,Jackson,49201,42.301963,-84.294607,2
North Peak Brewing Company,,,2319 Bishop Circle E,Dexter,48130,42.323718,-83.878322,2
Two James Spirits,,,2445 Michigan Avenue,Detroit,48216,42.331149,-83.079473,2
Atwater Brewery,,,237 Joseph Campau Street,Detroit,48207,42.337292,-83.018489,2
Detroit Vineyards,,,1000 Gratiot,Detroit,48207,42.340477,-83.041092,2
Chateau Aeronautique Winery,,,1849 Rives-Eaton Road,Jackson,49201,42.369059,-84.431585,2
The Depot,,,555 Dyckman Avenue,South Haven,49090,42.406402,-86.271875,2
B. Nektar meadery,,,1505 Jarvis Suite B  ,Ferndale,48220,42.456842,-83.113941,2
Schramm's meadery,,,327 W. 9 Mile Road,Ferndale,48220,42.460254,-83.138646,2
Valentine Distilling,,,161 Vester Ave,Ferndale,48220,42.461612,-83.133994,2
McIntosh Apple Orchards,,,6431 107th Avenue,South Haven,49090,42.469424,-86.16999,2
Red Hat Micro-Winery,,,24601 Jefferson Avenue,St Clair Shores,48080,42.473331,-82.889264,2
Royal Oak Winery,,,325 East Fourth Street,Royal Oak,48067,42.487415,-83.141655,2
Brewery Vivant,,,925 Cherry Street,Grand Rapids,49506,42.514752,-84.658783,2
Virtue Cider,,,2170 62nd Street,Fennville,49408,42.576187,-86.151648,2
